TransactionID,CustomerID,ProductID,Quantity,TotalValue,Price,CustomerName,Region,SignupDate,DaysSinceFirstTransaction,Cluster
0.0,C0199,P067,1,300.68,300.68,Andrea Jenkins,Europe,2022-12-03,238,0
0.0,C0146,P067,1,300.68,300.68,Brittany Harvey,Asia,2024-09-04,149,1
0.0,C0127,P067,1,300.68,300.68,Kathryn Stevens,Europe,2024-04-04,116,1
0.0,C0087,P067,2,601.36,300.68,Travis Campbell,South America,2024-04-11,87,1
0.0,C0070,P067,3,902.04,300.68,Timothy Perez,Europe,2022-03-15,81,1
0.0,C0188,P067,1,300.68,300.68,Anna Ball,South America,2022-05-17,361,0
0.0,C0195,P067,3,902.04,300.68,Jeremy Mclaughlin,South America,2024-09-17,329,0
0.0,C0008,P067,1,300.68,300.68,David Li,North America,2024-01-13,266,0
0.0,C0157,P067,3,902.04,300.68,Miguel Wong,North America,2024-01-30,343,0
0.0,C0130,P067,2,601.36,300.68,Robert Jones,South America,2023-04-19,136,1
0.0,C0051,P067,3,902.04,300.68,Nicholas Ellis,Europe,2023-12-21,20,1
0.0,C0075,P067,2,601.36,300.68,Misty Higgins,Europe,2023-05-01,281,0
0.0,C0155,P067,2,601.36,300.68,Michelle Brown,South America,2023-03-23,279,0
0.0,C0092,P034,2,434.1,217.05,Jacqueline Zamora,Asia,2024-05-29,351,0
0.0,C0088,P034,2,434.1,217.05,Carlos Murray,Asia,2023-05-14,171,1
0.0,C0109,P034,4,868.2,217.05,Abigail Jones,North America,2022-05-09,224,0
0.0,C0041,P034,4,868.2,217.05,Lindsey Deleon,Europe,2023-12-27,156,2
0.0,C0101,P034,3,651.15,217.05,Kelsey Roberts,Asia,2023-09-30,312,0
0.0,C0154,P034,1,217.05,217.05,Robert Sharp,North America,2024-10-27,100,1
0.0,C0200,P034,4,868.2,217.05,Kelly Cross,Asia,2023-06-11,346,0
0.0,C0049,P034,1,217.05,217.05,Jason Yates,North America,2024-09-18,243,0
0.0,C0103,P034,1,217.05,217.05,Jennifer Munoz,Europe,2022-05-15,199,0
0.0,C0028,P057,4,958.8,239.7,Jennifer Pena,Asia,2024-06-29,25,1
